question,answer,n
I can conclude which UPPMAX cluster best suits my needs,0,3
I can conclude which UPPMAX cluster best suits my needs,2,4
I can conclude which UPPMAX cluster best suits my needs,3,2
I can conclude which UPPMAX cluster best suits my needs,4,3
I can conclude which UPPMAX cluster best suits my needs,5,4
I can conclude which UPPMAX cluster best suits my needs,NA,1
I can create a bash script,3,1
I can create a bash script,4,5
I can create a bash script,5,11
I can do basic things in the Rackham remote desktop,0,1
I can do basic things in the Rackham remote desktop,2,1
I can do basic things in the Rackham remote desktop,3,1
I can do basic things in the Rackham remote desktop,4,3
I can do basic things in the Rackham remote desktop,5,10
I can do basic things in the Rackham remote desktop,NA,1
I can do basic things in the terminal,4,2
I can do basic things in the terminal,5,15
I can find and load a module,3,1
I can find and load a module,4,3
I can find and load a module,5,13
I can find other UPPMAX courses,1,2
I can find other UPPMAX courses,2,3
I can find other UPPMAX courses,3,3
I can find other UPPMAX courses,4,3
I can find other UPPMAX courses,5,5
I can find other UPPMAX courses,NA,1
I can find the hardware specifications of an UPPMAX cluster,0,5
I can find the hardware specifications of an UPPMAX cluster,1,2
I can find the hardware specifications of an UPPMAX cluster,3,4
I can find the hardware specifications of an UPPMAX cluster,4,2
I can find the hardware specifications of an UPPMAX cluster,5,3
I can find the hardware specifications of an UPPMAX cluster,NA,1
I can find where to apply for NAISS resources,0,1
I can find where to apply for NAISS resources,1,2
I can find where to apply for NAISS resources,3,5
I can find where to apply for NAISS resources,4,5
I can find where to apply for NAISS resources,5,3
I can find where to apply for NAISS resources,NA,1
I can log in to Rackham using a terminal,4,1
I can log in to Rackham using a terminal,5,16
I can log in to the Rackham remote desktop using the website,0,1
I can log in to the Rackham remote desktop using the website,2,1
I can log in to the Rackham remote desktop using the website,3,1
I can log in to the Rackham remote desktop using the website,4,1
I can log in to the Rackham remote desktop using the website,5,12
I can log in to the Rackham remote desktop using the website,NA,1
I can schedule a job,2,1
I can schedule a job,3,1
I can schedule a job,4,3
I can schedule a job,5,12
I can start a terminal text editor,4,4
I can start a terminal text editor,5,13
I can start an IDE,0,7
I can start an IDE,2,2
I can start an IDE,3,3
I can start an IDE,4,1
I can start an IDE,5,3
I can start an IDE,NA,1
I can start an interactive session,4,2
I can start an interactive session,5,15
I can transfer files to/from Rackham using FileZilla,0,1
I can transfer files to/from Rackham using FileZilla,2,1
I can transfer files to/from Rackham using FileZilla,3,3
I can transfer files to/from Rackham using FileZilla,4,3
I can transfer files to/from Rackham using FileZilla,5,9
I can transfer files to/from Rackham using `scp`,0,2
I can transfer files to/from Rackham using `scp`,1,1
I can transfer files to/from Rackham using `scp`,3,4
I can transfer files to/from Rackham using `scp`,4,2
I can transfer files to/from Rackham using `scp`,5,8
